,,,,RESULTADOS DE LAS ELECCIONES REGIONALES 2004 - GOBERNADORES,,,,,,,,,
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4511,UNIDAD EDUCATIVA ANTONIO JOSÉ DE SUCRE,CALLE LIBERTADOR CRUCE CON CALLE MONAGAS SIMON BOLIVAR,3,564,128,126,26
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4515,ESCUELA BÁSICA CREACIÓN ANACO,CALLE COLOMBIA  SECTOR EL CHAPARRAL,1,510,90,123,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4515,ESCUELA BÁSICA CREACIÓN ANACO,CALLE COLOMBIA  SECTOR EL CHAPARRAL,2,522,117,123,14
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4515,ESCUELA BÁSICA CREACIÓN ANACO,CALLE COLOMBIA  SECTOR EL CHAPARRAL,3,534,99,123,26
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,1,526,129,128,16
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,2,565,149,122,16
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,3,548,138,135,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,4,558,123,124,26
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,5,529,119,138,8
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,6,563,133,134,11
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4520,UNIDAD EDUCATIVA  LIBERTADOR SIMÓN BOLÍVAR,CALLE URPIN NUMERO 19 FRENTE PLAZA BOLÍVAR BARRIO EL CHAPARRAL,7,583,148,123,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4521,INSTITUTO NACIONAL DEL MENOR,AVENIDA  MÉRIDA FRENTE ELECTROAUTO Y VENTA DE REPUESTOS,1,541,119,117,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4521,INSTITUTO NACIONAL DEL MENOR,AVENIDA  MÉRIDA FRENTE ELECTROAUTO Y VENTA DE REPUESTOS,2,544,137,115,30
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4521,INSTITUTO NACIONAL DEL MENOR,AVENIDA  MÉRIDA FRENTE ELECTROAUTO Y VENTA DE REPUESTOS,3,609,136,143,21
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,1,556,129,145,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,2,578,140,136,28
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,3,589,156,133,25
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,4,558,135,129,30
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,5,544,132,149,13
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,6,589,128,148,37
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,7,549,124,131,26
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4530,ESCUELA  BÁSICA  23 DE ENERO,CALLE 17 DE DICIEMBRE CRUCE CON CALLE VARGAS SECTOR 23 DE ENERO ANACO,8,531,131,122,44
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,1,564,133,148,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,2,541,123,142,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,3,576,104,154,37
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,4,519,115,132,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,5,574,131,151,16
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,6,527,110,149,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,7,567,113,155,15
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,8,570,132,143,27
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4531,ESCUELA BÁSICA ARTESANAL URBANA ANACO,CALLE VARGAS AL FINAL BARRIO 23 DE ENERO ANACO,9,511,116,118,15
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,1,561,105,162,17
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,2,556,110,163,17
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,3,545,131,140,28
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,4,537,91,160,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,5,568,114,141,17
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,6,563,105,152,28
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,7,552,122,158,25
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4540,UNIDAD EDUCATIVA NARCISO FRAGACHAN,AVENIDA  MIRANDA AL FINAL,8,519,100,133,31
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,1,567,119,142,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,2,574,141,143,9
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,3,557,107,152,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,4,563,129,138,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,5,548,117,141,26
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,6,577,154,145,14
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,7,543,121,145,28
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4550,ESCUELA  BÁSICA MERCEDES DE PÉREZ FREITES,FINAL AVENIDA BOLÍVAR CON AVENIDA BOYACÁ  ENTRADA A CAMPO SUR,8,571,123,142,25
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4560,UNIDAD EDUCATIVA DOCTOR AGUSTÍN RAFAEL HERNÁNDEZ,CALLE FREITES CRUCE CON CALLE VENEZUELA,1,553,139,97,17
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4560,UNIDAD EDUCATIVA DOCTOR AGUSTÍN RAFAEL HERNÁNDEZ,CALLE FREITES CRUCE CON CALLE VENEZUELA,2,568,126,117,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4560,UNIDAD EDUCATIVA DOCTOR AGUSTÍN RAFAEL HERNÁNDEZ,CALLE FREITES CRUCE CON CALLE VENEZUELA,3,566,133,120,24
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4560,UNIDAD EDUCATIVA DOCTOR AGUSTÍN RAFAEL HERNÁNDEZ,CALLE FREITES CRUCE CON CALLE VENEZUELA,4,572,160,112,15
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,1,530,148,108,21
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,2,501,140,133,6
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,3,529,157,102,10
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,4,511,138,106,11
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,5,505,153,97,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4570,UNIDAD  EDUCATIVA  ANACO PDVSA,URBANIZACIÓN CAMPO SUR AVENIDA NUMERO 3 FRENTE A LA PLAZA JOSÉ,6,591,172,112,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4580,ESCUELA  RURAL B  KILÓMETRO 5,CALLE PRINCIPAL SECTOR KILOMETRO 5,1,576,134,159,31
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4580,ESCUELA  RURAL B  KILÓMETRO 5,CALLE PRINCIPAL SECTOR KILOMETRO 5,2,576,117,153,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4580,ESCUELA  RURAL B  KILÓMETRO 5,CALLE PRINCIPAL SECTOR KILOMETRO 5,3,580,122,185,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4580,ESCUELA  RURAL B  KILÓMETRO 5,CALLE PRINCIPAL SECTOR KILOMETRO 5,4,595,128,194,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,1,510,124,153,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,2,524,139,141,27
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,3,499,138,132,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,4,524,132,154,20
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,5,497,125,132,30
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4600,ESCUELA  BÁSICA  PEDRO  HERRERA,CALLE JUNÍN AL FINAL  CRUCE CON CALLE TRUJILLO,6,482,126,116,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,1,527,106,142,14
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,2,508,96,128,10
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,3,507,117,128,18
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,4,511,106,129,19
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,5,500,104,105,30
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4610,UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRÍGUEZ,CALLE PRIMERO DE MAYO AL FINAL,6,570,141,130,21
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,1,577,100,175,29
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,2,531,93,146,40
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,3,588,102,182,29
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,4,561,100,185,27
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,5,586,106,171,29
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,6,583,93,183,24
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,7,560,105,177,22
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,8,559,93,147,23
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,9,576,96,170,27
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4620,UNIDAD EDUCATIVA  VIENTO FRESCO,CALLE BERMÚDEZ SIN NUMERO VIENTO FRESCO ANACO,10,544,95,158,30
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4630,UNIDAD EDUCATIVA JOSÉ ANTONIO ANZOÁTEGUI,CALLE PRINCIPAL SIN NUMERO  BARRIO CAUCAGUITA ANACO,1,461,99,149,25
2,EDO. ANZOATEGUI,1,MP. ANACO,1,PQ. ANACO,4630,UNIDAD EDUCATIVA JOSÉ ANTONIO ANZOÁTEGUI,CALLE PRINCIPAL SIN NUMERO  BARRIO CAUCAGUITA ANACO,2,467,124,122,20
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4640,UNIDAD EDUCATIVA  PEDRO ANTONIO MEDINA,CALLE DIEGO  JIMÉNEZ SALAZAR NUMERO 17 - 02 SAN JOAQUÍN,1,485,184,115,9
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4640,UNIDAD EDUCATIVA  PEDRO ANTONIO MEDINA,CALLE DIEGO  JIMÉNEZ SALAZAR NUMERO 17 - 02 SAN JOAQUÍN,2,474,178,99,14
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4640,UNIDAD EDUCATIVA  PEDRO ANTONIO MEDINA,CALLE DIEGO  JIMÉNEZ SALAZAR NUMERO 17 - 02 SAN JOAQUÍN,3,473,177,115,14
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4640,UNIDAD EDUCATIVA  PEDRO ANTONIO MEDINA,CALLE DIEGO  JIMÉNEZ SALAZAR NUMERO 17 - 02 SAN JOAQUÍN,4,445,158,102,13
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4641,UNIDAD EDUCATIVA DIEGO JIMÉNEZ SALAZAR,CALLE FREITES SIN NUMERO BUENA VISTA,1,424,109,149,34
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4641,UNIDAD EDUCATIVA DIEGO JIMÉNEZ SALAZAR,CALLE FREITES SIN NUMERO BUENA VISTA,2,421,95,137,37
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4641,UNIDAD EDUCATIVA DIEGO JIMÉNEZ SALAZAR,CALLE FREITES SIN NUMERO BUENA VISTA,3,436,192,168,25
2,EDO. ANZOATEGUI,1,MP. ANACO,2,PQ. SAN JOAQUIN,4650,ESCUELA UNITARIA PARCELAMIENTO NUMERO 192,CASERIO EL PARCELAMIENTO SAN JOAQUIN,1,352,110,96,5
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,1,567,127,185,33
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,2,530,110,177,24
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,3,571,117,177,40
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,4,536,123,184,38
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,5,537,78,177,31
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,6,528,107,168,34
2,EDO. ANZOATEGUI,2,MP. ARAGUA,1,CM. ARAGUA DE BARCELONA,4660,UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA,CALLE MIRANDA SIN NUMERO ARAGUA DE BARCELONA,7,564,108,176,24
